| event_type | description | substitute |
|---|---|---|
| menu | id=message-menu | message-menu |
| menu | id=help-menu | help-menu |
| menu | id=view-menu | view-menu |
| menu | id=file-menu | file-menu |
| menu | id=edit-menu | edit-menu |
| button | id=addcancel | add_cancel |
| button | id=next | next |
| button | id=sortcancel | sort_cancel |
| button | id=movevalidation | move_validation |
| button | id=removecancel | remove_cancel |
| button | id=cancel | cancel |
| button | id=addvalidation | add_validation |
| button | id=ok | ok |
| button | id=movecancel | move_cancel |
| button | id=copyvalidation | copy_validation |
| button | id=spread-searchmc-btn | spread-searchmc-btn |
| button | id=sortvalidation | sort_validation |
| button | id=u00_popup_txt2 | u00-popup_txt2 |
| button | id=removevalidation | remove_validation |
| toolbar | id=replyall | replyall |
| toolbar | id=send | send |
| toolbar | id=forward | forward |
| toolbar | id=replymail | replymail |
| toolbar | id=find | find |
| toolbar | id=splithorizontal | splithorizontal |
| toolbar | id=newmail | newmail |
| toolbar | id=splitvertical | splitvertical |
| toolbar | id=mailapp | mailapp |
| toolbar | id=help | help |
| toolbar | id=trash | trash |
| toolbar | id=move | move |
| textbox_onfocus | id=hlpmc_txt12 | hlpmc_txt12 |
| textbox_onfocus | id=email_message | email_message |
| textbox_onfocus | id=endunit_txt2 | endunit_txt2 |
| textbox_onfocus | id=hlpmc_txt16 | hlpmc_txt16 |
| textbox_onfocus | id=create_folder_name | create-folder_name |
| textbox_onfocus | id=createfoldernameinput | create-folder_nameinput |
| textbox_onfocus | id=searchtfieldmc | searchtfieldmc |
| textbox_killfocus | id=hlpmc_txt12 | hlpmc_txt12 |
| textbox_killfocus | id=email_message | email_message |
| textbox_killfocus | id=endunit_txt2 | endunit_txt2 |
| textbox_killfocus | id=hlpmc_txt16 | hlpmc_txt16 |
| textbox_killfocus | id=create_folder_name | create-folder_name |
| textbox_killfocus | id=createfoldernameinput | create-folder_nameinput |
| textbox_killfocus | id=searchtfieldmc | searchtfieldmc |
