| event_type | description | substitute | fixed |
|---|---|---|---|
| button | id=addcancel | add_cancel | addcancel |
| button | id=sortcancel | sort_cancel | sortcancel |
| button | id=removecancel | remove_cancel | removecancel |
| button | id=addvalidation | add_validation | addvalidation |
| button | id=movecancel | move_cancel | movecancel |
| button | id=sortvalidation | sort_validation | sortvalidation |
| button | id=movevalidation | move_validation | movevalidation |
| button | id=removevalidation | remove_validation | removevalidation |
| textbox_onfocus | id=createfoldernameinput | create-folder_nameinput | createfoldernameinput |
| textbox_killfocus | id=createfoldernameinput | create-folder_nameinput | createfoldernameinput |
